"userid","activity.daily_routines","activity.emotional","activity.entertainment","activity.intellectual","activity.live_music","activity.music_listening","activity.on_the_move","activity.physical","activity.social"
302,3,3,4,4,2,4,3,4,3
303,3,3,5,2,4,5,4,4,4
304,5,2,4,5,3,3,4,3,3
306,4,5,4,4,4,5,4,5,4
308,3,3,4,4,3,3,3,3,3
309,5,3,4,3,4,3,4,4,2
311,4,5,3,4,4,4,5,5,4
312,3,4,4,2,2,3,3,3,4
313,4,1,4,4,3,4,5,3,3
315,5,4,4,5,3,4,4,4,3
316,2,2,5,2,1,5,2,3,2
318,2,3,5,5,5,5,5,2,5
322,5,1,4,5,5,5,5,3,2
323,3,5,3,5,5,5,4,4,3
324,5,5,5,5,5,5,4,5,5
325,2,3,5,2,2,4,4,2,2
326,4,4,4,5,4,4,4,4,4
328,3,4,4,4,4,4,4,3,3
329,4,3,5,4,4,5,3,2,2
333,3,4,4,5,1,4,5,3,1
334,4,4,4,2,3,4,3,3,3
335,5,3,1,2,3,3,4,4,5
336,3,2,4,4,5,5,3,5,5
337,2,3,5,5,1,2,5,2,2
338,2,1,3,4,1,2,4,2,2
340,5,4,5,5,3,4,3,5,4
341,3,4,5,4,5,4,4,4,5
342,2,3,2,2,3,3,2,2,3
345,4,1,4,5,2,5,2,2,3
346,5,3,5,5,4,5,3,4,5
347,4,5,4,4,5,4,4,4,5
348,2,1,2,2,2,3,4,3,2
349,3,4,4,2,2,4,3,4,3
350,4,2,5,4,4,5,2,2,5
351,2,2,3,2,3,3,4,3,2
353,3,5,2,2,4,3,1,3,3
354,5,4,5,5,2,5,4,5,4
356,4,5,5,3,3,5,4,5,4
358,4,4,5,3,2,3,4,3,2
360,2,3,5,3,3,5,2,4,4
361,5,4,5,5,2,4,5,4,3
363,3,4,4,4,4,5,4,4,3
364,5,5,4,5,5,5,5,5,4
368,4,4,3,4,4,3,4,4,4
371,2,4,5,4,1,1,5,4,2
372,2,4,4,4,4,4,4,5,4
374,3,2,3,5,2,4,3,2,3
375,3,3,4,2,4,3,4,2,3
376,4,5,4,5,4,4,4,4,3
378,3,2,5,2,5,5,4,5,5
380,2,3,4,1,4,5,3,4,2
381,4,4,4,1,3,4,4,3,4
382,3,5,5,5,4,5,3,5,2
383,2,3,4,2,4,3,3,3,2
386,4,4,5,5,5,5,4,4,5
387,3,3,2,4,2,3,2,2,4
389,5,5,5,3,4,5,5,5,4
390,1,3,4,1,1,2,2,4,2
391,5,2,3,5,3,3,4,3,4
392,3,2,4,4,1,2,3,3,2
393,3,2,4,4,2,5,4,4,2
394,4,5,4,3,5,5,5,5,3
395,3,4,5,5,5,4,5,5,4
400,4,4,4,2,4,3,3,4,5
402,3,3,4,5,3,4,5,5,4
403,3,3,4,2,4,4,4,4,3
404,2,3,4,2,3,2,4,4,1
405,1,3,1,1,1,1,1,1,1
406,4,3,5,4,5,4,5,3,3
408,3,5,3,4,4,4,5,4,5
410,4,4,3,3,4,3,4,3,2
412,5,5,5,5,2,5,5,5,3
413,5,4,4,4,5,5,5,4,5
414,2,3,3,4,3,4,2,3,3
415,4,5,5,3,4,5,3,2,3
416,3,2,4,3,3,3,4,4,3
420,4,4,4,4,3,3,2,3,4
421,4,4,3,4,3,3,4,3,3
423,4,2,3,5,3,3,3,4,4
424,3,3,4,4,3,5,4,5,4
425,4,4,5,5,4,4,4,4,4
427,4,5,5,3,3,2,4,4,4
429,4,4,4,4,3,4,5,4,5
430,2,1,4,2,2,5,2,4,3
432,2,1,3,1,1,2,5,4,1
433,3,3,3,3,3,3,3,3,3
435,3,3,3,3,3,3,3,3,3
436,5,4,4,4,3,4,5,2,4
438,5,3,4,3,3,3,4,4,3
440,4,2,5,5,4,4,2,2,2
444,4,5,4,3,3,3,4,3,5
445,1,3,5,4,2,2,3,4,4
447,2,2,4,2,3,3,4,4,3
448,3,4,2,1,3,4,4,3,3
450,4,3,4,3,5,5,4,3,4
451,2,2,5,4,2,2,4,3,2
453,2,1,4,2,4,5,5,5,5
454,3,3,2,4,3,4,4,2,4
455,5,3,4,4,3,4,3,3,3
457,3,3,4,5,4,5,3,3,4
459,5,1,2,4,2,2,4,3,3
460,3,4,4,4,4,4,3,3,4
462,4,2,2,5,2,3,5,4,5
464,2,4,4,4,2,5,3,3,2
466,5,4,4,5,4,4,4,3,3
467,4,4,5,4,4,3,4,4,3
471,4,4,5,4,4,4,4,4,4
472,3,4,4,4,3,2,3,2,3
473,4,5,5,5,4,5,5,5,3
477,3,3,5,3,2,2,4,2,2
478,5,5,2,3,5,5,5,5,3
479,5,4,5,5,3,4,3,3,3
481,3,3,4,4,3,4,3,4,3
482,3,5,5,5,5,5,5,3,4
485,3,4,4,3,4,4,3,2,3
486,5,5,4,5,4,5,4,4,4
490,3,5,1,5,2,3,5,5,3
491,5,5,5,5,4,5,5,5,4
492,3,4,2,4,4,3,4,4,3
493,4,1,4,4,1,3,5,3,3
494,2,5,4,5,2,3,2,4,3
495,4,1,2,3,3,4,3,2,3
496,4,3,5,3,2,3,2,4,2
499,2,4,3,1,2,4,4,4,4
500,2,4,4,5,2,5,3,4,2
501,4,3,3,3,5,4,3,3,4
503,5,5,3,3,3,3,4,4,5
504,5,4,4,5,5,5,5,5,4
505,4,3,5,4,3,4,4,3,2
506,2,3,5,3,2,2,5,4,3
507,4,5,5,5,4,4,5,4,5
508,4,3,5,4,5,5,3,3,3
512,4,4,5,3,2,3,4,4,2
513,2,4,4,5,1,5,4,4,1
514,3,3,4,4,3,4,4,4,4
515,3,5,5,5,2,5,1,2,4
516,3,2,4,1,5,3,4,4,4
517,4,3,4,5,4,5,5,4,4
518,4,3,3,3,2,5,4,3,2
519,5,2,5,5,4,4,3,3,3
520,4,4,4,4,3,4,4,4,3
522,3,5,4,2,4,4,3,4,4
523,3,4,4,5,3,4,2,2,3
525,3,3,4,4,3,5,5,3,3
526,3,5,5,5,3,4,5,3,4
527,3,4,5,3,3,3,4,3,4
531,4,3,5,3,4,5,4,4,5
532,4,3,3,4,2,2,4,3,3
534,5,4,4,5,3,4,4,3,4
535,4,5,5,5,2,5,3,3,5
540,4,1,4,5,1,3,4,3,2
541,4,3,5,5,5,5,5,4,3
545,4,3,4,2,5,4,3,4,4
546,5,2,4,3,1,1,5,2,4
547,3,3,4,3,1,4,5,5,3
548,3,2,5,3,2,4,3,4,2
549,2,3,2,4,1,4,3,3,1
550,3,2,3,2,1,2,2,4,4
551,5,4,4,5,5,5,5,5,4
552,3,2,4,3,3,3,4,4,3
554,3,3,4,4,2,3,4,3,2
556,4,2,5,3,1,2,5,2,3
557,3,1,2,1,2,1,4,3,2
558,5,5,5,5,4,5,5,4,4
559,5,3,4,3,2,4,5,2,3
560,3,3,3,2,3,4,5,5,2
562,2,5,5,5,5,5,5,5,2
564,2,2,5,4,3,4,2,4,3
566,2,2,2,2,2,2,2,2,1
567,4,2,4,3,4,5,4,3,1
568,3,3,3,3,3,3,3,3,3
569,3,1,1,3,1,1,1,1,2
571,4,4,3,5,4,5,5,4,4
572,4,4,4,1,5,4,4,3,4
573,5,5,4,5,5,5,5,5,3
574,4,4,5,5,3,5,5,3,2
577,4,4,4,3,3,4,3,3,4
578,4,1,5,1,2,4,5,1,3
579,2,4,5,1,5,5,4,4,1
582,1,1,5,1,1,1,1,5,1
584,1,1,3,1,1,2,3,3,1
585,4,5,3,2,4,4,4,5,4
586,5,4,4,4,2,3,2,3,3
587,3,5,4,3,5,4,4,4,3
588,3,3,4,3,4,4,4,2,4
589,2,5,2,4,2,3,4,4,3
593,5,3,5,5,4,5,4,3,4
594,2,2,3,2,1,1,2,3,1
595,3,4,4,1,2,5,4,5,3
596,3,3,4,4,5,5,5,3,4
598,3,5,3,3,4,4,5,4,4
599,4,3,4,4,3,3,3,4,3
601,4,3,4,3,1,2,4,3,4
602,5,4,4,5,4,4,4,4,3
604,4,3,5,3,5,4,5,3,5
607,1,3,3,3,5,5,4,5,5
609,5,5,4,5,4,4,3,3,4
612,2,5,5,1,5,5,3,5,2
613,4,3,3,4,3,3,4,3,3
616,3,3,3,3,2,1,4,3,4
617,4,3,5,2,4,5,5,4,4
620,2,3,4,2,2,2,4,4,4
621,4,4,5,2,5,5,3,3,3
622,3,4,3,4,4,4,3,3,5
624,3,2,4,3,5,5,1,3,4
625,4,3,4,4,4,4,3,4,3
629,4,2,4,3,1,1,2,2,2
635,3,2,4,5,3,5,4,3,3
636,2,3,5,5,1,2,2,5,2
637,3,2,5,4,3,5,4,5,4
638,2,2,2,2,3,4,2,2,2
639,5,4,5,3,1,3,1,4,4
641,3,1,4,1,1,5,3,3,3
642,5,4,4,4,4,4,4,3,5
643,1,1,4,4,1,4,4,2,3
644,4,3,4,5,4,5,4,4,4
650,3,5,4,4,2,5,4,4,2
652,4,3,5,5,4,4,4,3,2
653,3,1,2,1,1,2,4,5,1
655,4,2,5,4,1,4,4,4,3
656,4,5,4,4,5,5,5,5,5
657,3,3,4,5,2,5,4,4,5
659,3,4,3,5,4,5,4,2,2
660,4,5,4,3,5,5,4,2,4
661,5,4,4,5,4,3,5,5,5
664,4,1,4,1,2,2,4,2,2
665,1,3,5,5,2,4,5,3,4
666,5,2,5,2,3,4,3,5,5
668,2,3,2,5,2,2,2,5,4
669,3,2,5,2,3,3,5,3,4
671,5,1,5,4,1,5,5,2,1
674,1,3,5,1,2,4,4,3,2
675,3,2,5,4,3,5,5,5,4
678,3,2,4,3,2,3,4,3,3
679,4,3,5,4,2,3,5,4,3
680,4,3,3,4,4,3,3,4,4
681,3,3,3,3,1,4,2,1,1
682,4,5,4,4,3,4,2,1,3
685,3,3,4,3,3,4,4,4,4
686,2,4,1,4,3,3,3,4,3
689,4,4,5,5,3,4,3,2,5
691,3,2,5,4,3,4,4,3,3
692,5,3,4,4,5,5,4,5,3
693,3,2,3,4,2,4,3,4,3
694,5,2,3,4,2,3,4,3,2
695,3,1,2,5,2,4,4,3,2
697,4,5,5,5,5,4,4,4,5
700,4,5,5,2,1,4,5,5,2
701,3,2,3,5,3,4,4,4,1
704,3,3,4,3,3,4,5,4,3
706,2,2,3,4,3,3,4,3,3
708,5,5,4,5,2,3,3,2,2
709,4,5,5,5,5,5,5,5,4
710,3,4,4,4,4,4,3,4,4
712,5,3,4,5,3,2,5,3,3
713,5,3,4,4,2,3,5,4,3
