"userid","activity.daily_routines","activity.emotional","activity.entertainment","activity.intellectual","activity.live_music","activity.music_listening","activity.on_the_move","activity.physical","activity.social"
300,3,3,3,3,3,3,3,3,3
301,5,3,3,3,4,4,5,3,4
302,3,3,4,4,3,4,3,4,4
303,4,4,3,3,3,4,5,4,5
304,3,4,4,2,5,4,3,2,3
306,5,5,5,4,5,5,5,5,5
308,3,4,3,3,3,3,3,3,3
309,5,3,3,3,4,3,4,4,4
311,4,4,4,4,4,4,5,4,5
312,3,4,3,3,4,3,4,2,3
313,4,3,4,2,5,5,5,4,4
315,5,3,4,2,4,5,5,5,4
316,4,5,2,2,2,5,2,5,4
318,2,3,5,5,5,5,5,2,5
322,5,1,4,5,4,5,5,3,2
323,4,5,3,4,5,4,3,5,3
324,5,5,5,5,5,5,5,5,5
325,2,2,5,2,2,4,4,2,2
326,4,3,4,1,5,5,4,4,2
328,3,5,5,4,4,4,4,4,4
329,4,4,3,2,4,5,4,3,4
333,4,4,2,5,1,5,4,3,1
334,4,4,4,2,3,4,3,4,4
335,5,5,2,2,5,3,5,4,4
336,3,2,4,4,4,5,3,5,5
337,4,3,1,1,1,5,4,2,1
338,2,5,4,2,4,5,3,3,2
340,4,4,3,4,3,5,3,5,3
341,5,5,4,5,4,5,4,4,4
342,5,3,3,4,2,5,5,3,2
345,2,2,3,1,1,5,4,5,4
346,4,4,4,2,5,5,5,5,2
347,3,3,3,3,3,3,3,3,3
348,2,1,3,1,4,4,3,3,3
349,2,4,2,4,3,3,4,3,4
350,5,3,5,3,5,5,4,5,5
351,3,2,4,2,4,4,3,3,3
353,2,5,3,3,3,2,1,4,3
354,4,4,5,5,3,3,5,5,4
356,3,5,5,2,3,5,4,5,5
358,4,4,5,3,2,3,4,2,3
360,5,5,5,4,5,5,5,5,4
361,5,5,4,3,5,5,5,5,5
363,5,4,4,3,5,5,3,4,3
364,3,2,5,3,5,5,5,4,4
368,2,2,1,1,5,5,2,2,2
371,1,1,4,1,2,2,4,1,4
